number	name	parent	parent_name	a_p	a_p_err	e_p	e_p_err	sin_i_p	sin_i_p_err	g	g_err	h	h_err	mass	mass_err	diameter	diameter_err	inverse_diameter	inverse_diameter_err	albedo	albedo_err
2251	Tikhov	nan	None	2.7107	nan	0.1060	nan	0.1307	nan	0.15	nan	11.71	nan	nan	nan	29.31	0.135	0.03382	0.000156	0.069	0.0022
2264	Sabrina	24	Themis	3.1309	nan	0.1547	nan	0.0235	nan	0.15	nan	10.95	nan	nan	nan	34.51	0.119	0.02886	0.000099	0.094	0.0053
2269	Efremiana	nan	None	3.1288	nan	0.0874	nan	0.2494	nan	0.15	nan	11.19	nan	nan	nan	28.94	0.231	0.03433	0.000274	0.123	0.0105
2276	Warck	44	Nysa	2.3748	nan	0.1664	nan	0.0529	nan	0.15	nan	13.05	nan	nan	nan	15.00	0.056	0.06654	0.000248	0.066	0.0025
2278	Gotz	nan	None	2.4517	nan	0.1586	nan	0.0608	nan	0.15	nan	13.60	nan	nan	nan	11.79	0.056	0.08476	0.000405	0.037	0.0055
2289	McMillan	569	Misa	2.6353	nan	0.1784	nan	0.0423	nan	0.15	nan	13.63	nan	nan	nan	11.51	0.075	0.08677	0.000562	0.048	0.0057
2291	Kevo	nan	None	3.0446	nan	0.0502	nan	0.4101	nan	0.15	nan	10.88	nan	nan	nan	41.38	0.104	0.02412	0.000061	0.062	0.0037
2293	Guernica	24	Themis	3.1378	nan	0.1563	nan	0.0212	nan	0.15	nan	11.33	nan	nan	nan	23.49	1.662	0.04232	0.002994	0.140	0.0560
2296	Kugultinov	24	Themis	3.1964	nan	0.1759	nan	0.0200	nan	0.15	nan	11.89	nan	nan	nan	21.56	0.067	0.04637	0.000144	0.083	0.0038
2313	Aruna	44	Nysa	2.4581	nan	0.1532	nan	0.0484	nan	0.15	nan	13.09	nan	nan	nan	14.92	0.085	0.06684	0.000379	0.043	0.0021
