number	name	parent	parent_name	a_p	a_p_err	e_p	e_p_err	sin_i_p	sin_i_p_err	g	g_err	h	h_err	mass	mass_err	diameter	diameter_err	inverse_diameter	inverse_diameter_err	albedo	albedo_err
15412	Schaefer	24	Themis	3.1659	nan	0.1732	nan	0.0297	nan	0.15	nan	13.63	nan	nan	nan	10.54	0.113	0.09491	0.001016	0.066	0.0159
15494	1999CX123	170	Maria	2.6646	nan	0.0921	nan	0.2489	nan	0.15	nan	13.81	nan	nan	nan	11.47	0.055	0.08717	0.000417	0.069	0.0032
15541	2000CN63	nan	None	3.1478	nan	0.1456	nan	0.3222	nan	0.15	nan	13.25	nan	nan	nan	13.02	0.090	0.07683	0.000531	0.060	0.0083
15601	2000GZ106	nan	None	3.2106	nan	0.1709	nan	0.1928	nan	0.15	nan	13.20	nan	nan	nan	12.21	0.232	0.08192	0.001555	0.082	0.0099
15621	Erikhovland	nan	None	2.6296	nan	0.1639	nan	0.2569	nan	0.15	nan	12.84	nan	nan	nan	9.94	1.319	0.09956	0.013203	0.137	0.0434
15635	Andrewhager	nan	None	2.4376	nan	0.1565	nan	0.0656	nan	0.15	nan	14.34	nan	nan	nan	8.00	0.152	0.12447	0.002370	0.070	0.0073
15675	Goloseevo	847	Agnia	2.7740	nan	0.0770	nan	0.0726	nan	0.15	nan	13.42	nan	nan	nan	11.94	0.140	0.08367	0.000984	0.054	0.0070
15701	1987RG1	20	Massalia	2.4371	nan	0.1502	nan	0.0295	nan	0.15	nan	14.32	nan	nan	nan	8.04	0.045	0.12295	0.000691	0.040	0.0038
15748	1991RG25	668	Dora	2.7978	nan	0.1966	nan	0.1375	nan	0.15	nan	13.36	nan	nan	nan	13.40	1.412	0.07323	0.007715	0.045	0.0137
15833	1995CL1	nan	None	2.6342	nan	0.1906	nan	0.2201	nan	0.15	nan	14.20	nan	nan	nan	9.01	0.129	0.11103	0.001595	0.057	0.0063
15834	McBride	2	Pallas	2.7781	nan	0.2624	nan	0.5489	nan	0.15	nan	13.44	nan	nan	nan	7.96	0.210	0.12568	0.003317	0.161	0.0240
15848	1995YJ4	31	Euphrosyne	3.1562	nan	0.2360	nan	0.4473	nan	0.15	nan	12.45	nan	nan	nan	18.57	0.175	0.05352	0.000504	0.060	0.0073
15917	Rosahavel	668	Dora	2.7922	nan	0.1962	nan	0.1369	nan	0.15	nan	13.64	nan	nan	nan	10.82	0.312	0.09240	0.002666	0.065	0.0100
15923	1997VN3	nan	None	2.5842	nan	0.1759	nan	0.3163	nan	0.15	nan	13.52	nan	nan	nan	13.27	0.770	0.07360	0.004274	0.042	0.0050
15962	1998CM2	44	Nysa	2.4304	nan	0.1469	nan	0.0469	nan	0.15	nan	14.53	nan	nan	nan	7.43	0.047	0.13460	0.000851	0.044	0.0057
