MPCnumber,AdjustedType,AdjustedBand
1109,dubious,
1111,unknown,
1112,S,
1113,unknown,
1114,X,
1115,C,dubious
1116,unknown,
1118,Other,D
1124,X,
1127,dubious,
1128,C,no
1129,unknown,
1135,X,
1137,S,
1140,S,
1142,S,
1146,X,
1148,S,
1149,unknown,
1154,X,
1157,unknown,
1158,S,
1163,unknown,
1165,dubious,
1166,Other,L
1167,Other,D
1171,X,
1175,S,
1177,X,
1186,S,
1189,C,yes
1191,unknown,
1194,C,yes
1196,X,
1197,unknown,
1199,unknown,
1200,unknown,
1207,unknown,
1209,Other,T
1210,dubious,
1223,S,
1227,dubious,
1232,X,
1234,dubious,
1237,unknown,
1240,unknown,
1241,unknown,
1242,C,no
1243,C,yes
1245,S,
1246,S,
1247,unknown,
1248,S,
1251,X,
1252,S,
1254,unknown,
1255,unknown,
1258,unknown,
1259,unknown,
1262,C,no
1263,X,
1264,C,no
1266,Other,T
1271,dubious,
1275,dubious,
1276,C,no
1278,S,
1280,X,
1282,dubious,
1283,X,
1284,Other,D
1285,unknown,
1286,unknown,
1289,S,
1291,unknown,
1294,C,no
1295,unknown,
1297,unknown,
1303,unknown,
1304,X,
1305,unknown,
1306,Other,T
1308,unknown,
1309,unknown,
1312,X,
1315,unknown,
1317,X,
1319,X,
1320,C,no
1321,Other,D
1323,X,
1328,Other,D
1329,S,
1330,C,no
1331,C,no
1332,Other,L
1334,unknown,
1336,S,
1339,unknown,
1341,unknown,
1349,unknown,
1350,S,
1351,X,
1353,S,
1356,X,
1359,unknown,
1364,S,
1366,unknown,
1368,S,
1369,C,yes
1379,S,
1385,S,
1390,X,
1398,unknown,
1407,X,
1416,S,
1421,unknown,
1423,S,
1424,X,
1426,unknown,
1428,X,
1434,S,
1436,X,
1457,unknown,
1459,Other,V
1461,dubious,
1463,X,
1467,C,yes
1469,X,
1481,Other,K
1484,C,no
1488,unknown,
1503,dubious,
1520,C,no
1524,unknown,
1532,unknown,
1533,unknown,
1540,unknown,
1542,Other,D
1546,X,
1547,Other,T
1556,X,
1558,unknown,
1564,X,
1567,C,no
1572,unknown,
1579,C,no
1584,S,
1585,X,
1596,unknown,
1603,C,yes
1604,X,
1605,X,
1609,S,
1612,unknown,
1614,unknown,
1617,C,dubious
1625,C,yes
1628,X,
1633,unknown,
1637,C,yes
1641,unknown,
1642,S,
1654,X,
1659,S,
1669,unknown,
1679,X,
1687,unknown,
1691,C,no
1701,S,
1711,S,
1712,dubious,
1721,unknown,
1723,unknown,
1731,C,no
1732,S,
1735,unknown,
1755,Other,L
1765,X,
1771,C,yes
1780,unknown,
1796,C,no
1819,X,
1838,C,dubious
1841,X,
1853,unknown,
1859,unknown,
1903,Other,K
1952,unknown,
1961,unknown,
1985,unknown,
2008,unknown,
2025,unknown,
2043,X,
2052,S,
2090,S,
2091,dubious,
2103,X,
2104,X,
2111,S,
2152,C,yes
2193,unknown,
2196,dubious,
2208,Other,D
2235,Other,D
2264,unknown,
2266,Other,D
2291,C,no
2315,unknown,
2320,unknown,
2326,unknown,
2345,S,
2356,unknown,
2375,Other,D
2376,unknown,
2393,unknown,
2407,X,
2421,unknown,
2443,unknown,
2448,Other,T
2494,unknown,
2582,X,
2617,X,
2634,X,
2725,unknown,
2731,unknown,
2829,C,yes
2892,C,no
2906,X,
2951,unknown,
2957,Other,K
2976,unknown,
3024,unknown,
3025,unknown,
3028,Other,K
3036,C,no
3062,unknown,
3104,C,yes
3139,C,dubious
3141,Other,D
3210,unknown,
3237,unknown,
3248,Other,D
3259,S,
3300,S,
3310,unknown,
3346,unknown,
3431,C,yes
3578,C,dubious
3614,unknown,
3731,unknown,
3754,unknown,
3776,unknown,
3906,Other,T
4223,unknown,
4460,X,
4942,Other,
4944,C,no
4945,Other,no
4946,Other,no
4947,Other,no
4948,Other,no
4950,Other,no
4951,Other,no
4954,Other,no
4955,C,dubious
4956,Other,no
4959,Other,D
5081,C,yes
5192,dubious,
5333,C,yes
5348,C,yes
5553,C,yes
5585,C,yes
5592,,dubious
6129,,yes
6233,C,yes
6410,C,yes
6419,unknown,
6509,C,yes
13832,Other,D
29943,unknown,
